,singers,songs
0,Harry Styles,as it was
1,Steve Lacy,bad habit
2,Harry Styles,late night talking
3,Nicky Youre & dazy,sunroof
4,Lizzo,about damn time
5,Post Malone Featuring Doja Cat,i like you (a happier song)
6,Nicki Minaj,super freaky girl
7,OneRepublic,i ain't worried
8,Kate Bush,running up that hill (a deal with god)
9,Morgan Wallen,you proof
10,Future Featuring Drake & Tems,wait for u
11,Bad Bunny & Chencho Corleone,me porto bonito
12,Bad Bunny,titi me pregunto
13,Luke Combs,the kind of love we make
14,Beyonce,break my soul
15,Jack Harlow,first class
16,Morgan Wallen,wasted on you
17,Glass Animals,heat waves
18,Cole Swindell,she had me at heads carolina
19,Doja Cat,vegas
20,Drake Featuring 21 Savage,jimmy cooks
21,The Kid LAROI & Justin Bieber,stay
22,Elton John & Britney Spears,hold me closer
23,Tyler Hubbard,5 foot 9
24,Lil Baby,detox
25,Joji,glimpse of us
26,Jon Pardi,last night lonely
27,Bad Bunny,moscow mule
28,Latto,big energy
29,DJ Khaled Featuring Drake & Lil Baby,staying alive
30,Yung Gravy,betty (get money)
31,Zach Bryan,something in the orange
32,Justin Bieber,ghost
33,Ed Sheeran,shivers
34,Lil Baby,in a minute
35,Bailey Zimmerman,rock and a hard place
36,Charlie Puth Featuring Jung Kook,left and right
37,Bad Bunny,efecto
38,Jelly Roll,son of a sinner
39,Marshmello & Khalid,numb
40,Bailey Zimmerman,fall in love
41,Yeat,talk
42,"DJ Khaled Featuring Rick Ross, Lil Wayne, JAY-Z, John Legend & Fridayy",god did
43,Karol G,provenza
44,Sia,unstoppable
45,David Guetta & Bebe Rexha,i'm good (blue)
46,Em Beihold,numb little bug
47,Imagine Dragons,bones
48,Nardo Wick,dah dah dahdah
49,Jax,victoriaâ€™s secret
50,Karol G x Maldy,gatubela
51,The Weeknd,die for you
52,Burna Boy,last last
53,Mitchell Tenpenny,truth about you
54,"Cardi B, Ye & Lil Durk",hot shit
55,Tems,free mind
56,SleazyWorld Go Featuring Lil Baby,sleazy flow
57,Halsey,so good
58,Justin Moore,with a woman you love
59,Kane Brown,like i love country music
60,Ingrid Andress With Sam Hunt,wishful drinking
61,Bad Bunny & Rauw Alejandro,party
62,Rosalia,despecha
63,Hitkidd & GloRilla,f.n.f. (let's go)
64,JVKE,golden hour
65,Bad Bunny & Bomba Estereo,ojitos lindos
66,BLACKPINK,pink venom
67,Lil Tjay,beat the odds
68,Drake,sticky
69,Gabby Barrett,pick me up
70,Nate Smith,whiskey on you
71,Bad Bunny,despues de la playa
72,DJ Khaled Featuring Future & SZA,beautiful
73,Russell Dickerson & Jake Scott,she likes it
74,Stephen Sanchez,until i found you
75,Carrie Underwood,ghost story
76,d4vd,romantic homicide
77,Lizzo,2 be loved (am i ready)
78,Bailey Zimmerman,where it ends
79,Rod Wave,alone
80,Bad Bunny,neverita
81,Brent Faiyaz,all mine
82,Bad Bunny & Jhay Cortez,tarot
83,Jordan Davis,what my world spins around
84,Thomas Rhett Featuring Riley Green,half of me
85,Manuel Turizo,la bachata
86,Harry Styles,music for a sushi restaurant
87,Jackson Dean,don't come lookin'
88,Lee Brice,soul
89,"benny blanco, BTS & Snoop Dogg",bad decisions
90,Rema & Selena Gomez,calm down
91,Future,puffin on zootiez
92,Rosa Linn,snap
93,Quavo & Takeoff,hotel lobby (unc and phew)
94,Bizarrap & Quevedo,"bzrp music sessions, vol. 52"
95,Morgan Wallen,thought you should know
96,Luke Bryan,country on
97,Steve Lacy,static
98,Armani White,billie eilish.
99,Romeo Santos & Justin Timberlake,sin fin
